"N_curve","n","Uo","TS"
4,26,1.519263809314,142.98133269214
4,27,1.519263809314,134.583773585388
4,28,1.519263809314,114.030236903675
4,29,1.519263809314,130.742945270592
4,30,1.519263809314,119.746072455864
4,31,1.519263809314,123.146735408012
4,32,1.519263809314,123.664121355597
4,33,1.519263809314,122.553776866075
4,34,1.519263809314,105.561504636273
4,35,1.519263809314,118.513919171015
4,36,1.519263809314,110.814266275289
4,37,1.519263809314,128.918803238264
4,38,1.519263809314,119.021563185925
4,39,1.519263809314,113.710201093157
4,40,1.519263809314,125.572513332091
5,1,2.57775590987876,-1.95621920241917
5,2,2.57775590987876,10.3098067450625
5,3,2.57775590987876,26.2386520353968
5,4,2.57775590987876,42.9505192157315
5,5,2.57775590987876,18.9120550013272
5,6,2.57775590987876,57.3588315450597
